WKT,group,支社略通称線,支社コード,支社,支社略,通称線コード,通称線,begin,end,length,cnt_toboku,cnt_bassai2022,cnt_bassai2023,cnt_bassai2024,cnt_bassai2022-2024,
"LINESTRING (139.3318674 35.60459211,139.3309879 35.61264952,139.3330763 35.62053615,139.3293844 35.62485593,139.3291605 35.62747384,139.3328739 35.63496516,139.3456452 35.64209007,139.348594 35.64677808,139.3458133 35.65329129,139.3397525 35.65503941)",八王子支社_横浜線,八王子横浜線,418,八王子支社,八王子,171,横浜線,35400,42400,6984.18489,0,0,0,22,22,3.149973883
"LINESTRING (138.5752147 35.66522446,138.5703116 35.66669701)",八王子支社_身延線,八王子身延線,418,八王子支社,八王子,185,身延線,87400,87900,477.1244939,0,0,0,0,0,0
"LINESTRING (139.5135012 35.62501084,139.4853355 35.64533717,139.4826389 35.65679531,139.4781343 35.66279499,139.4666798 35.69488155,139.4658739 35.70291788,139.4675747 35.72181686,139.476189 35.7487828,139.4856866 35.76807429,139.49878 35.7848028,139.5074836 35.79172488,139.5200456 35.79738771,139.5677725 35.80487658,139.5756912 35.80796067)",八王子支社_武蔵野線,八王子武蔵野線,418,八王子支社,八王子,201,武蔵野線,19000,46400,27438.26593,0,0,9,136,145,5.284590519
"LINESTRING (139.4669853 35.71625683,139.4650347 35.70220491,139.460645 35.69965233,139.4492984 35.69930271)",八王子支社_国立支線,八王子国立支線,418,八王子支社,八王子,202,国立支線,0,3100,3105.777254,0,0,0,0,0,0
"LINESTRING (139.4919703 35.77617791,139.4928123 35.77858983,139.486024 35.78557144)",八王子支社_秋津支線,八王子秋津支線,418,八王子支社,八王子,207,秋津支線,0,1300,1285.61078,0,0,0,0,0,0
"LINESTRING (139.5934063 35.70359887,139.4076912 35.69791382,139.4017988 35.69416698,139.3928978 35.67749828,139.3882845 35.66457895,139.3703816 35.65258801,139.355719 35.6501889,139.3468822 35.65409069,139.3178582 35.65917812,139.2927915 35.6460548,139.2807037 35.64158607,139.2330069 35.63958931,139.2070535 35.63200756,139.1961729 35.61934968,139.1912141 35.61709345,139.1738043 35.62214016,139.1600522 35.61512343,139.1296153 35.62080023,139.1197956 35.62013968,139.1127707 35.61782162,139.097407 35.61854034,139.0841706 35.61239405,139.0757 35.61410928,139.065754 35.61374325,139.0568907 35.6071312,139.0428616 35.60279496,139.0342666 35.60813115,139.0257309 35.60460456,139.0191693 35.60443429,139.0095701 35.60816008,138.9864716 35.60899617,138.9758298 35.61353658,138.9626053 35.61148202,138.9484022 35.61537284,138.9384154 35.61156069,138.9331549 35.60595837,138.9165654 35.59881295,138.9005164 35.60093872,138.8862437 35.59455997,138.8743099 35.59501479,138.8571809 35.60409501,138.8466985 35.60173524,138.8384263 35.60537077,138.823655 35.60371249,138.8183818 35.60467525,138.7834942 35.63850861,138.7763433 35.64072298,138.7727658 35.64387601,138.7665678 35.6447247,138.7434644 35.67068314,138.7400608 35.68379883,138.7441324 35.69581339,138.7430647 35.7020643,138.7390338 35.70491091,138.7237304 35.70577397,138.6871306 35.68552596,138.6743252 35.68554145,138.6410145 35.65913671,138.6391832 35.65816603,138.6381162 35.65787386,138.6072261 35.65628806,138.5983245 35.65975961,138.5807697 35.661656,138.5738206 35.66593521,138.5579406 35.66970887,138.5038929 35.66909325,138.5010316 35.67180699,138.4988251 35.67966535,138.485075 35.68994206,138.4714359 35.69758271,138.4651014 35.69880422,138.4568899 35.70321364,138.4475468 35.71319079,138.4408689 35.72647766,138.4329021 35.73267439,138.4336913 35.73958166,138.4315418 35.74268829,138.4201985 35.74329312,138.4158002 35.74591238,138.4120032 35.75991307,138.4155281 35.76906457,138.4117185 35.77745338,138.3976224 35.78730706,138.3913149 35.79357087,138.3812712 35.79735592,138.3738216 35.80274218,138.3683763 35.81044556,138.3649595 35.8237131,138.3704521 35.83310561,138.3667652 35.84143804,138.35972 35.84562269,138.3380438 35.84507209,138.3347124 35.84741713,138.3335421 35.8508467,138.3329098 35.85170713,138.3205919 35.86256484,138.3052929 35.86785856,138.2996233 35.87214071)",八王子支社_中央本線,八王子中央本線,418,八王子支社,八王子,261,中央本線,21200,171900,149953.1543,1,416,374,82,872,5.81514943
"LINESTRING (139.5933969 35.70367386,139.5614081 35.70277164)",八王子支社_中央急行線,八王子中央急行線,418,八王子支社,八王子,262,中央急行線,21200,24100,2899.321433,0,0,0,0,0,0
"LINESTRING (139.4136148 35.69809334,139.3461924 35.71818267,139.303441 35.77499203,139.2701988 35.79093902,139.2627194 35.78979521,139.2452379 35.79158069,139.2327361 35.78626486,139.2294808 35.78857037,139.2245202 35.79746389,139.2113133 35.808231,139.2013173 35.80535244,139.1882825 35.80663158,139.1840152 35.80187738,139.1785366 35.80128311,139.1770347 35.80247525,139.1771414 35.80769059,139.1711088 35.80731373,139.1638572 35.81371104,139.1579921 35.8107868,139.1532701 35.81628283,139.1459194 35.81502382,139.1311151 35.81588123,139.1232554 35.81267881,139.1157339 35.8124894,139.1124777 35.81017987,139.0973213 35.80900636)",八王子支社_青梅線,八王子青梅線,418,八王子支社,八王子,266,青梅線,0,36900,36864.59449,1,0,0,0,0,0
"LINESTRING (139.4134987 35.6974621,139.4006578 35.69844553,139.3943333 35.70319585)",八王子支社_青梅第３線,八王子青梅第３線,418,八王子支社,八王子,267,青梅第３線,0,2000,2016.191996,0,0,123,14,137,67.94987792
"LINESTRING (139.3436671 35.7208095,139.3347881 35.72864595,139.3197522 35.72586706,139.3031863 35.72590108,139.2527885 35.73128558,139.237472 35.73106213,139.23081 35.73389534,139.2281237 35.73239002)",八王子支社_五日市線,八王子五日市線,418,八王子支社,八王子,268,五日市線,0,11100,11115.85965,0,0,407,0,407,36.61435217
"LINESTRING (139.3380922 35.65581159,139.3477952 35.65444976,139.3567294 35.65972119,139.3692495 35.67875926,139.3700834 35.68226033,139.3687427 35.68565708,139.3632296 35.69120309,139.3623937 35.70096941,139.3506822 35.717349,139.3450033 35.71994729,139.3414257 35.72452915,139.3361284 35.74104427,139.3365433 35.74818574,139.3417931 35.7590641,139.3413307 35.76532266,139.3463862 35.77008439,139.3466148 35.77367894,139.3244249 35.81974054,139.3310415 35.82898626,139.3340966 35.84038138,139.332759 35.84371086,139.3264561 35.84869621,139.3263456 35.85942145,139.3374161 35.86932309,139.3364343 35.87638733,139.3418628 35.88909328,139.3358219 35.90071377,139.3334207 35.91039055,139.328696 35.9153502)",八王子支社_八高線,八王子八高線,418,八王子支社,八王子,271,八高線,0,33400,33500.48934,0,458,0,16,474,14.14904705
"LINESTRING (138.3170431 35.86380583,138.3081345 35.86730053)",八王子支社_小海線,八王子小海線,418,八王子支社,八王子,273,小海線,0,900,902.2237394,0,0,0,0,0,0
"LINESTRING (139.3497149 35.90162825,139.3386877 35.90134159,139.3369331 35.89920471,139.3379758 35.896675)",八王子支社_川越線,八王子川越線,418,八王子支社,八王子,491,川越線,29000,30600,1594.932974,0,0,0,0,0,0
"LINESTRING (139.684414995815 35.8018140760738,139.6723351 35.81284592,139.6653485 35.82404196,139.6568418 35.82975792,139.6470851 35.84484605,139.6362134 35.85505354,139.6253652 35.88247389,139.6292941 35.8952076,139.6211698 35.91091876,139.6161502 35.92930414,139.6257424 35.98002874,139.6300905 35.98829989,139.6557358 36.02206666,139.6794863 36.06856778,139.7158514 36.12650248,139.7400333 36.1816974,139.7768239 36.2752639,139.8019629 36.3060832,139.8606287 36.40717745,139.8761104 36.48824566,139.8910683 36.52976852,139.9009118 36.57044811,139.9180669 36.69676067,139.9352672 36.74235738,139.9517759 36.78066123,139.9644054 36.84842618,139.9670398 36.85625595,140.0190763 36.92992572,140.0489475 36.95791151,140.0786639 36.99190214,140.1242851 37.05309866,140.157848925218 37.0903415363032)",大宮支社_東北新幹線,大宮東北新幹線,415,大宮支社,大宮,104,東北新幹線,0,676100,155920.1325,0,410,1,284,695,4.457410271
"LINESTRING (139.6229862 35.90596895,139.6172143 35.92154228,139.6161195 35.93054629,139.6246463 35.98132541,139.622397 35.99103121,139.617169293013 35.9996059221136)",大宮支社_上越新幹線,大宮上越新幹線,415,大宮支社,大宮,105,上越新幹線,0,269500,10666.45638,0,95,0,0,95,8.906425586
"LINESTRING (139.5765509 35.80851862,139.5938297 35.81977709,139.6091259 35.82701841,139.6204102 35.8392451,139.6334643 35.84757652,139.6649731 35.8459155,139.6784694 35.85362298,139.7201884 35.87036893,139.7481498 35.87593293,139.8444218 35.87650629,139.858595 35.86778742,139.8823981 35.84659804,139.8875943 35.84484057)",大宮支社_武蔵野線,大宮武蔵野線,415,大宮支社,大宮,201,武蔵野線,46500,78500,32014.08319,0,11,0,351,362,11.30752356
"LINESTRING (139.6292008 35.84512945,139.6348552 35.84940852,139.6443993 35.86958235,139.6376248 35.88665623)",大宮支社_大宮支線,大宮大宮支線,415,大宮支社,大宮,203,大宮支線,0,5100,5107.28533,0,0,0,0,0,0
"LINESTRING (139.6470927 35.84623067,139.6371862 35.84954869,139.6363557 35.85219342,139.6382576 35.85633955)",大宮支社_西浦和支線,大宮西浦和支線,415,大宮支社,大宮,204,西浦和支線,0,1800,1787.314426,0,0,0,0,0,0
"LINESTRING (139.7178183 35.7950484,139.7182151 35.79960672,139.7160338 35.8036746,139.6994075 35.82046372,139.6596748 35.85547216,139.6520333 35.86650414,139.6439975 35.87393491,139.6358859 35.89070844,139.6259407 35.90261756,139.6241945 35.9059799,139.6224728 35.91128394,139.6223276 35.91219431,139.6391509 35.94551222,139.6408626 35.95081611,139.6420756 35.96160922,139.6422723 35.96249833,139.6426059 35.96336397,139.65486 35.98464372,139.6596911 35.98956028,139.6637912 36.00081231,139.6673285 36.02491584,139.6718049 36.03692524,139.675536 36.06198591,139.6800945 36.07209706,139.6796217 36.0874043,139.6792013 36.0928156,139.6789595 36.09531423,139.678516 36.10089897,139.6784658 36.1015976,139.6793741 36.11083168,139.6860602 36.1190527,139.6928821 36.13137701,139.696087 36.14462635,139.7085077 36.15206654,139.7185776 36.16157587,139.70844 36.20026199,139.7376515 36.23321921,139.749238 36.24418522,139.8014969 36.30498247,139.8593283 36.40388856,139.8625984 36.41437665,139.8799884 36.5108859,139.8823287 36.53700967,139.8854837 36.54277927,139.8969453 36.55379961,139.9009184 36.56784802,139.9600697 36.60902653,139.9752935 36.61162209,139.9788952 36.61485769,139.9809737 36.62277361,139.9775258 36.64142615,139.9706334 36.65373604,139.9573696 36.69377874,139.9497873 36.72288849,139.952089 36.74426602,139.9285856 36.78003034,139.9311266 36.80155468,139.9352394 36.81279333,139.9463985 36.82274167,139.9482349 36.83238144,139.9583143 36.84434065,140.0206712 36.93133207,140.049268 36.95799038,140.0720689 36.98374978,140.0852265 36.99176107,140.088923 37.001986,140.0973314 37.01147004,140.1148115 37.0212524,140.1346268 37.02955246,140.140218 37.03512761,140.1488411 37.03914196,140.1547661 37.05442436,140.162944 37.06175027,140.1640047 37.06853024,140.170052 37.0781095)",大宮支社_東北本線,大宮東北本線,415,大宮支社,大宮,461,東北本線,15100,179600,165053.9528,2,1065,656,216,1937,11.73555657
"LINESTRING (139.7180289 35.79503185,139.7183115 35.79961853,139.7161156 35.80371298,139.6994822 35.8205101,139.6598101 35.85553145,139.6521106 35.86655213,139.6440826 35.87397054,139.6360408 35.89076035,139.6247688 35.90615943)",大宮支社_東北電車,大宮東北電車,415,大宮支社,大宮,463,東北電車,15100,30300,15304.15411,0,0,0,0,0,0
"LINESTRING (139.7176106 35.79506642,139.7181214 35.79959667,139.7159588 35.8036297,139.6993368 35.82041638,139.6595943 35.85541548,139.6519529 35.86645884,139.6439087 35.87387374,139.6349938 35.89135437,139.624153 35.90597015)",大宮支社_東北貨物,大宮東北貨物,415,大宮支社,大宮,465,東北貨物,15100,30300,15313.59566,0,0,0,0,0,0
"LINESTRING (139.6843087 35.80220336,139.6723905 35.81294472,139.6654115 35.82412544,139.656883 35.82986102,139.6471337 35.84495718,139.6352584 35.8567328,139.6252202 35.88346571,139.6295332 35.89440326,139.623312 35.90584404)",大宮支社_埼京線,大宮埼京線,415,大宮支社,大宮,468,埼京線,17800,31200,13399.11106,0,0,0,0,0,0
"LINESTRING (139.6232379 35.90603219,139.6158427 35.92856921,139.6134969 35.93153828,139.6103719 35.93249406,139.5624163 35.91615538,139.5437796 35.90382067,139.4896185 35.90066539,139.4794867 35.9110786,139.4699015 35.91713088,139.4472086 35.92123086,139.4042081 35.90703068,139.3843516 35.90546144,139.3707512 35.90166732,139.3508364 35.90162479)",大宮支社_川越線,大宮川越線,415,大宮支社,大宮,491,川越線,0,28900,28939.32795,1,1,0,10,11,0.380105579
"LINESTRING (139.6240108 35.90622638,139.6164482 35.92706671)",大宮支社_川越貨物,大宮川越貨物,415,大宮支社,大宮,492,川越貨物,0,2400,2412.148229,0,0,0,0,0,0
"LINESTRING (139.6242421 35.90628476,139.6139302 35.93192099)",大宮支社_高崎線,大宮高崎線,415,大宮支社,大宮,493,高崎線,0,3000,3018.27026,0,0,0,0,0,0
"LINESTRING (139.8071707 36.31474412,139.8109291 36.32225876,139.8084577 36.33003018)",大宮支社_両毛線,大宮両毛線,415,大宮支社,大宮,512,両毛線,200,2000,1813.139782,0,0,0,0,0,0
"LINESTRING (139.8067098 36.31296514,139.8056259 36.30950057,139.8084793 36.30707688,139.8326843 36.30369851)",大宮支社_水戸線,大宮水戸線,415,大宮支社,大宮,516,水戸線,0,3000,2997.734841,0,0,0,0,0,0
"LINESTRING (139.8982587 36.55907197,139.896366 36.55302711,139.8837748 36.541507,139.8484646 36.53730177,139.8320436 36.53993558,139.8262638 36.54414425,139.8068979 36.54840298,139.7665458 36.5658459,139.7310782 36.62618752,139.7232281 36.65058311,139.7240248 36.65949128,139.722366 36.66829754,139.7333323 36.6816856,139.7303756 36.69017581,139.7186659 36.69979463,139.7080077 36.70464312,139.692635 36.71770518,139.6803446 36.72397848,139.6440268 36.73566394,139.6283674 36.74263699,139.6226659 36.74694622)",大宮支社_日光線,大宮日光線,415,大宮支社,大宮,518,日光線,0,40400,40462.49209,0,93,1,13,107,2.644424366
"LINESTRING (139.9798059 36.63061172,139.9786208 36.63682302,139.9803572 36.63901219,139.9949227 36.64366205,140.0231071 36.65656551,140.0385523 36.65826796,140.0445007 36.66462751,140.0530211 36.66669458,140.0619212 36.66615061,140.0671352 36.66758001,140.0808345 36.66408148,140.0852197 36.66444116,140.0916441 36.66093433,140.1040599 36.64807786,140.1125604 36.64648819,140.1181282 36.64218428,140.1212886 36.64257881,140.1249313 36.64599924,140.1359299 36.64934089,140.1396736 36.64756156,140.141827 36.6435686,140.1509055 36.6403335,140.153489 36.64186809,140.1547127 36.64974792)",大宮支社_烏山線,大宮烏山線,415,大宮支社,大宮,521,烏山線,0,20300,20269.41817,0,748,109,1,858,42.32977941
"LINESTRING (139.617169293013 35.9996059221136,139.5208603 36.0759386,139.4522998 36.11585629,139.3605163 36.15012657,139.3165368 36.15461548,139.3039725 36.15817472,139.1372044 36.23944162,139.0765015 36.27292191,139.0319461 36.2915063,139.0207442 36.30016088,139.0145826 36.31166072,139.009862 36.34018752,138.9970241 36.3590811,138.9935785 36.36771067,138.9713568 36.51252822,138.9674699 36.57449686,138.9684767 36.58797548,138.9659461 36.60316933,138.9806935 36.67513483,138.9651522 36.75719838,138.9630801 36.78043874,138.9593267 36.79172406,138.9527909 36.80118357,138.918532842343 36.8277601344049)",高崎支社_上越新幹線,高崎上越新幹線,411,高崎支社,高崎,105,上越新幹線,0,269500,124983.8482,0,0,544,81,625,5.000646156
"LINESTRING (139.0030018 36.3507778,138.996189 36.35879105,138.988963 36.36436568,138.9696503 36.37520745,138.9571839 36.37901321,138.9405728 36.37932591,138.8866208 36.36810373,138.8437781 36.36261969,138.8272201 36.36746067,138.8076239 36.38461353,138.7933257 36.39140536,138.7237059 36.39819619,138.7073956 36.39556683,138.6761865 36.38173726,138.6686687 36.37396433,138.650184858765 36.345390600108)",高崎支社_北陸新幹線,高崎北陸新幹線,411,高崎支社,高崎,106,北陸新幹線,3300,177900,37075.10239,0,0,1,140,141,3.803091318
"LINESTRING (139.3282276 35.91616157,139.3289056 35.9220402,139.3240429 35.9280118,139.3099401 35.93945947,139.306877 35.94715569,139.3073834 35.95250467,139.3006179 35.95965392,139.2969013 35.96904302,139.2931084 35.97230007,139.2860591 35.98347231,139.2829364 35.99849317,139.2897299 36.00423512,139.2918813 36.00996949,139.2828528 36.01308303,139.276509 36.01811468,139.2677591 36.02179938,139.2643988 36.0263756,139.2627199 36.03249006,139.2633383 36.04324156,139.2660173 36.04810255,139.2664579 36.05610799,139.2517934 36.06214813,139.2388979 36.07314959,139.2252804 36.07695992,139.2144194 36.08449398,139.2081379 36.08583112,139.1982654 36.09144017,139.1930353 36.09931614,139.1924804 36.1063782,139.1842729 36.11026065,139.1857464 36.11633612,139.1991308 36.11961822,139.2072001 36.13638641,139.2068105 36.14353465,139.1962453 36.16142102,139.1771088 36.17642175,139.1392121 36.18927595,139.1315971 36.19698919,139.0922222 36.22351177,139.0825062 36.22770848,139.0839072 36.27797421,139.0824286 36.2813255,139.0797966 36.2828843)",高崎支社_八高線,高崎八高線,411,高崎支社,高崎,271,八高線,33500,88500,54999.49908,1,555,3269,734,4558,82.87348206
"LINESTRING (139.6138949 35.93196441,139.5966371 35.9637704,139.5702145 35.99280775,139.5484099 36.01330721,139.5309115 36.03622308,139.5123643 36.05547898,139.5032122 36.06782425,139.4825201 36.07997233,139.4746993 36.08761939,139.465607 36.09277734,139.4595924 36.10033065,139.4497877 36.10451271,139.4431857 36.10545002,139.4421035 36.10565589,139.4410617 36.10595854,139.4400498 36.10634202,139.4293121 36.11671236,139.4215293 36.12186051,139.4062547 36.12928302,139.3947545 36.13777728,139.3786687 36.14397942,139.3659271 36.15526677,139.3326203 36.17337403,139.3019261 36.18623382,139.2611586 36.19541894,139.2365708 36.2060802,139.2220528 36.21446454,139.2119524 36.21820122,139.1944882 36.23342982,139.0879231 36.28077714,139.0711148 36.28535631,139.0635784 36.29504338,139.0286656 36.30778073,139.014254 36.31535874,139.0122515 36.32214474)",高崎支社_高崎線,高崎高崎線,411,高崎支社,高崎,493,高崎線,3000,74700,72020.08,0,0,1,250,251,3.485139144
"LINESTRING (139.0124406 36.32305938,139.011538 36.3356124,139.0256692 36.36208312,139.0509777 36.38217364,139.0523732 36.38549447,139.0501018 36.3932997,139.0335741 36.41026597,139.0277504 36.43687733,139.0199936 36.44959734,139.0207546 36.4548731,139.0182293 36.46821503,139.0076717 36.47762994,139.0067571 36.48566489,139.010674 36.4959857,139.0199678 36.49803618,139.0220867 36.50005028,139.0236605 36.50979689,139.0277243 36.51395394,139.0318225 36.52705239,139.0347832 36.53080746,139.0329097 36.54508542,139.0364641 36.55156198,139.0444426 36.55590195,139.0398555 36.56840943,139.042103 36.5703557,139.0486751 36.57055749,139.0512484 36.57222414,139.0536963 36.57624724,139.0554664 36.58603024,139.0494223 36.59221233,139.0482215 36.60110572,139.042201 36.60747523,139.0403636 36.61994399,139.0350474 36.62430379,139.0350488 36.62698235,139.0396673 36.63205083,139.040185 36.63467734,139.0264175 36.65840288,138.997153 36.68188949,138.9916384 36.69458951,138.983201 36.6998962,138.9795133 36.70644183,138.9805557 36.71625151,138.9835536 36.72203661,138.9821595 36.72722495,138.9864047 36.74279251,138.9780615 36.75195576,138.9767453 36.75809272,138.9713326 36.76222724,138.9720145 36.76924414,138.968951 36.77867289,138.9716993 36.7824546,138.9779049 36.78447338,138.982081 36.78977681,138.9874801 36.79300426,138.9884466 36.79560553,138.9838914 36.80640043,138.9605221 36.83180519)",高崎支社_上越線,高崎上越線,411,高崎支社,高崎,495,上越線,74800,141400,66531.84035,1,1251,2658,486,4395,66.05859656
"LINESTRING (139.0100259 36.49498757,139.0096702 36.49760997,138.989711 36.52252445,138.9706551 36.53327518,138.9604035 36.53655263,138.9572947 36.54023933,138.9544382 36.54885262,138.9449277 36.55128252,138.9359779 36.54857173,138.9296489 36.55214468,138.9140434 36.55292866,138.909604 36.55675035,138.8997184 36.55736906,138.8956891 36.56446995,138.8794799 36.57226267,138.8653216 36.58371658,138.8602249 36.58538061,138.8468293 36.58533083,138.8341672 36.58212878,138.8299008 36.57586708,138.8114234 36.56050252,138.8065972 36.55053154,138.8028226 36.54895311,138.796142 36.54875399,138.7839902 36.55280464,138.7719621 36.55759279,138.7679393 36.56068937,138.7464311 36.56786549,138.7422556 36.56678292,138.7162494 36.54975723,138.693834 36.54423834,138.6762987 36.53641004,138.6643278 36.53740517,138.6588373 36.54291143,138.6477054 36.54697902,138.643874 36.55127409,138.632236 36.55434614,138.6217559 36.55161922,138.6084699 36.55208597,138.6013132 36.54801468,138.5957681 36.55072013,138.5891556 36.55120486,138.582209 36.54469714,138.5609045 36.5398399,138.5534309 36.53457328,138.5408724 36.52082005,138.5358782 36.51897332,138.5296002 36.51395468)",高崎支社_吾妻線,高崎吾妻線,411,高崎支社,高崎,497,吾妻線,500,55400,54572.25653,3,576,4426,999,6001,109.9643002
"LINESTRING (139.8084165 36.33008791,139.7997719 36.34151824,139.7619207 36.36069864,139.7438782 36.37201218,139.7334995 36.37230701,139.7252642 36.3696482,139.7133975 36.36150264,139.7064361 36.35119165,139.6996125 36.34528277,139.6803429 36.33821218,139.661602 36.32689981,139.6348547 36.32670663,139.5907937 36.31697949,139.5261642 36.31615945,139.5019848 36.3131695,139.4776072 36.32569254,139.4441171 36.33542346,139.4329956 36.33524885,139.4247262 36.34129376,139.4146465 36.34499064,139.3681241 36.38003498,139.3631089 36.38181784,139.3457482 36.3958889,139.3404916 36.40757492,139.3268163 36.41344858,139.3217345 36.41196671,139.2529213 36.36747,139.2125714 36.3325693,139.199284 36.32631077,139.1885047 36.32812909,139.1611308 36.34504343,139.136464 36.35558633,139.0918009 36.38075679,139.0792042 36.3841704,139.0626994 36.38211854,139.0539315 36.38308616,139.0475841 36.37954497)",高崎支社_両毛線,高崎両毛線,411,高崎支社,高崎,512,両毛線,2000,84300,82227.54398,0,2,0,0,2,0.02432275
"LINESTRING (139.012224 36.32251571,139.0106363 36.33500888,138.9987066 36.33961174,138.9378084 36.33804717,138.9299634 36.33211949,138.9100258 36.33116888,138.8673305 36.30228414,138.8571299 36.29866661,138.8317954 36.29631518,138.8187809 36.29857872,138.8006063 36.30728864,138.7803965 36.31998815,138.7588955 36.3260596,138.7489568 36.33324269,138.7372913 36.33612214)",高崎支社_信越本線,高崎信越本線,411,高崎支社,高崎,631,信越本線,0,29000,29062.20917,0,83,190,1,274,9.428051335
"LINESTRING (140.0839484 35.90772745,140.0969913 35.91599681,140.1290765 35.92300196,140.1362687 35.92701771,140.1382517 35.93112388,140.1382616 35.94640395,140.1415231 35.97966615,140.1581957 36.00711158,140.1641787 36.02812494,140.1863778 36.05720709,140.189205 36.06391439,140.2036522 36.07365347,140.2131216 36.09194356,140.2226053 36.09817537,140.2699212 36.13879708,140.2829867 36.14552304,140.297215 36.16791281,140.2966961 36.17312297,140.2841708 36.18457426,140.2774524 36.19593539,140.2896757 36.23517561,140.2759551 36.29355882,140.2777855 36.29785532,140.2888948 36.31129975,140.3006246 36.34703162,140.3046831 36.350058,140.3642443 36.37483842,140.4369754 36.38458666,140.4420058 36.38279255,140.4525713 36.37354776,140.4709362 36.37052765,140.4798496 36.37098677,140.4882365 36.36869456,140.5021718 36.37174374,140.5194383 36.38159187,140.5227602 36.38629429,140.5254141 36.39963972,140.5453893 36.4426961,140.5529865 36.4547512,140.5758198 36.47316553,140.6091407 36.49423781,140.6110096 36.50218979,140.6166265 36.50770198,140.6209709 36.51605117,140.6209988 36.52865102,140.6258092 36.54625045,140.635822 36.55462905,140.6489461 36.56917834,140.6516569 36.57507613,140.6583834 36.58338285,140.6661105 36.59931339,140.6679059 36.60820025,140.6767709 36.62949901,140.6735195 36.64358649,140.6827887 36.65563454,140.6837877 36.66804399,140.6923793 36.67969031,140.7142378 36.69479005,140.7199283 36.73966714,140.7271212 36.74876321,140.7302332 36.75550292,140.7366464 36.76168379,140.7406165 36.78573806,140.7547291 36.79691977,140.7673059 36.81900178,140.7755416 36.82865932,140.7795649 36.85726532,140.7850013 36.86156594,140.7881053 36.86728158,140.7874796 36.88250074,140.7799922 36.89741501,140.7959056 36.91807612,140.7956599 36.9287581,140.7984638 36.93466139,140.8023128 36.93774792,140.8154016 36.93999876,140.8206824 36.9433112,140.8342906 36.94737408,140.8438726 36.95343594,140.8578667 36.9565411,140.8634048 36.96083473,140.8642841 36.97338932,140.8626272 36.98594805,140.8477074 37.01110163,140.8444425 37.02163864,140.8467156 37.02667229,140.8720541 37.05297866,140.888894 37.05811652,140.9135607 37.05891289,140.9399321 37.06882752,140.9586666 37.08176326,140.9807472 37.10218528,140.9836404 37.10607521,140.9855802 37.11299911,140.9960867 37.1233889,140.9973539 37.12863279,140.9944723 37.14919154,141.000216 37.16178107,140.9947682 37.17628197,140.9989002 37.18358686,141.0014672 37.19417047,140.9964003 37.20091551,140.9953307 37.20528893,141.0067469 37.22277727,141.0045295 37.23224547,141.0083022 37.24896947,141.0074204 37.25245936,140.9973765 37.26333359,140.9954471 37.26755899,141.0027208 37.28232782,140.9956832 37.29535651,141.0027328 37.31503111,141.0213335 37.32678073,141.0230307 37.33177761,141.0204599 37.34054864,141.0178591 37.34345245,141.0039858 37.34469337,140.9964528 37.34858889,140.9929609 37.35411304,140.991498 37.37921978,140.983922 37.40831475,140.9855627 37.41158458,141.0001271 37.42011522,141.0026086 37.42302281,141.0008635 37.43627808,141.0045428 37.45132466,141.00922 37.46125999,141.0062619 37.47721915,140.9975234 37.48780661,140.9831171 37.49639074,140.9749328 37.50926609,140.9739 37.5136666,140.9769663 37.52326918,140.9843411 37.52870552,140.9873983 37.53828057,140.9933497 37.54803657,140.9978565 37.5738909,141.001974 37.58661224,140.9942895 37.60252042,140.9861348 37.60999438,140.9880415 37.62051912,140.9869255 37.62396797,140.9694561 37.63934726,140.966619 37.64416935,140.9657687 37.65133403,140.9669588 37.65755749,140.9721108 37.66944971,140.9717641 37.67757683,140.9738985 37.69096906,140.972793 37.69901365,140.9543011 37.72170989,140.9488239 37.73720136,140.9178959 37.77596133,140.9268203 37.79433563,140.9231285 37.81199854,140.9256304 37.82170887,140.9250057 37.84696608,140.9300549 37.85586678,140.9275356 37.87379332,140.9208392 37.89194997)",水戸支社_常磐線,水戸常磐線,412,水戸支社,水戸,481,常磐線,39900,317100,277267.8598,1,885,245,560,1690,6.095188966
